idjunc,typejunc,xjunc,yjunc,incLanes,intLanes
1539633462,traffic_light,1846.97,442.04,"['47519280#2_0', '215654684#5_0', '-47519280#3_0']","[':1539633462_0_0', ':1539633462_9_0', ':1539633462_10_0', ':1539633462_3_0', ':1539633462_4_0', ':1539633462_11_0', ':1539633462_6_0', ':1539633462_7_0', ':1539633462_12_0']"
1543473950,priority,1306.57,336.32,['96152239#1_0'],[':1543473950_0_0']
1543485658,right_before_left,2441.26,387.45,"['140999329#0_0', '140999322_0']","[':1543485658_0_0', ':1543485658_1_0']"
1543485665,priority,2418.47,395.85,['-140999321#0_0'],[':1543485665_0_0']
1543485672,dead_end,2393.20,439.54,['140999324_0'],[]
1543485681,priority,2589.75,385.80,['449717734#0_0'],"[':1543485681_0_0', ':1543485681_1_0']"
1543485695,right_before_left,2429.71,357.46,"['140999319#0_0', '-140999319#1_0']","[':1543485695_0_0', ':1543485695_1_0', ':1543485695_2_0', ':1543485695_3_0', ':1543485695_4_0', ':1543485695_5_0']"
1543485698,priority,2392.95,360.23,"['118075890#6_0', '140999319#1_0', '-118075890#7_0']","[':1543485698_0_0', ':1543485698_9_0', ':1543485698_10_0', ':1543485698_3_0', ':1543485698_4_0', ':1543485698_5_0', ':1543485698_6_0', ':1543485698_7_0', ':1543485698_11_0']"
1543485715,dead_end,2391.41,419.85,[],[]
1543485720,priority,2449.77,407.71,"['-219220209#15_0', '140999329#1_0', '219220209#14_0']","[':1543485720_0_0', ':1543485720_6_0', ':1543485720_2_0', ':1543485720_3_0', ':1543485720_4_0', ':1543485720_7_0']"
1543485769,priority,2430.62,455.88,"['219220209#10_0', '-219220209#11_0', '140999316#1_0']","[':1543485769_0_0', ':1543485769_4_0', ':1543485769_2_0', ':1543485769_5_0']"
1543485803,priority,2429.27,343.79,['-140999319#0_0'],[':1543485803_0_0']
1543485805,priority,2538.77,354.62,"['-22737645#2_0', '140999317_0', '22737645#1_0']","[':1543485805_0_0', ':1543485805_6_0', ':1543485805_2_0', ':1543485805_3_0', ':1543485805_4_0', ':1543485805_7_0']"
1543485851,priority,2397.63,439.66,"['118075890#5_0', '-118075890#6_0', '140999316#0_0']","[':1543485851_0_0', ':1543485851_4_0', ':1543485851_2_0', ':1543485851_5_0']"
1543485886,right_before_left,2420.75,397.40,"['-140999321#1_0', '140999321#0_0']","[':1543485886_0_0', ':1543485886_1_0', ':1543485886_2_0', ':1543485886_3_0', ':1543485886_4_0', ':1543485886_5_0']"
